source_job_id,title,company_name,salary_text,city,district,experience,education,industry,company_size,financing_stage,skills,description,source,source_url,publish_time,crawl_time
51job-00011,数据开发工程师,成都星河信息有限公司,12-28K,成都,天府新区,不限,本科,互联网,100-499人,C轮及以上,"SQL,Python,Spark,Hadoop,数据仓库",负责数据仓库建设和 ETL 流程开发，熟悉 Spark/Hive/Hadoop 生态，有海量数据处理经验优先。,51job,https://51job.example.invalid/jobs/11,2026-03-30,2026-06-02 14:15:30
boss-00012,Java 开发工程师,成都天府数据有限公司,8-22K·13薪,成都,高新区,1-3年,大专,智能制造,1000-9999人,天使轮,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发与维护，熟悉 Spring Boot、MySQL、Redis 和 Linux 环境部署，有分布式项目经验优先。,boss,https://boss.example.invalid/jobs/12,2026-04-23,2026-06-04 14:15:30
liepin-00013,数据分析师,成都宏图科技有限公司,6-16K,成都,金牛区,不限,硕士,智能制造,500-999人,未融资,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,liepin,https://liepin.example.invalid/jobs/13,2026-04-11,2026-06-02 19:15:30
lagou-00014,数据分析师,成都宏图信息有限公司,10-22K,成都,双流区,5-10年,不限,互联网,20-99人,未融资,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,lagou,https://lagou.example.invalid/jobs/14,2026-05-12,2026-06-03 12:15:30
lagou-00015,运维工程师,成都博思科技有限公司,10-22K·13薪,成都,双流区,3-5年,硕士,电子商务,1000-9999人,上市公司,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,lagou,https://lagou.example.invalid/jobs/15,2026-05-28,2026-06-04 02:15:30
lagou-00016,前端开发工程师,成都云智数据有限公司,8-21K,成都,高新区,不限,硕士,教育培训,100-499人,未融资,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,lagou,https://lagou.example.invalid/jobs/16,2026-03-22,2026-06-02 02:15:30
lagou-00017,前端开发工程师,成都天府科技有限公司,7-18K·14薪,成都,双流区,不限,硕士,智能制造,500-999人,A轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,lagou,https://lagou.example.invalid/jobs/17,2026-05-20,2026-06-01 23:15:30
lagou-00018,数据分析师,成都星河科技有限公司,8-21K·13薪,成都,成华区,不限,不限,教育培训,100-499人,C轮及以上,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,lagou,https://lagou.example.invalid/jobs/18,2026-04-07,2026-06-03 07:15:30
51job-00019,测试工程师,成都蓉创科技有限公司,5-15K·14薪,成都,成华区,3-5年,不限,软件服务,500-999人,未融资,"Python,SQL,Linux",负责接口测试、自动化测试用例编写和质量保障，熟悉 Python 脚本和 SQL 查询，有 CI/CD 集成经验优先。,51job,https://51job.example.invalid/jobs/19,2026-05-15,2026-06-02 15:15:30
lagou-00020,前端开发工程师,成都宏图数据有限公司,9-21K,成都,金牛区,不限,硕士,企业服务,500-999人,未融资,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,lagou,https://lagou.example.invalid/jobs/20,2026-05-09,2026-06-03 14:15:30
liepin-00021,前端开发工程师,成都星河科技有限公司,9-19K,成都,双流区,不限,本科,教育培训,100-499人,B轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,liepin,https://liepin.example.invalid/jobs/21,2026-03-25,2026-06-04 22:15:30
51job-00022,产品经理,成都星河数据有限公司,10-19K·14薪,成都,青羊区,5-10年,大专,软件服务,100-499人,天使轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计工具和敏捷开发流程，具备跨团队沟通协调能力。,51job,https://51job.example.invalid/jobs/22,2026-03-09,2026-06-03 16:15:30
lagou-00023,前端开发工程师,成都博思科技有限公司,9-23K·13薪,成都,成华区,1-3年,大专,企业服务,1000-9999人,A轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,lagou,https://lagou.example.invalid/jobs/23,2026-05-15,2026-06-04 10:15:30
liepin-00024,数据分析师,成都蓉创数据有限公司,6-18K·14薪,成都,金牛区,5-10年,本科,互联网,20-99人,A轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,liepin,https://liepin.example.invalid/jobs/24,2026-04-30,2026-06-04 15:15:30
liepin-00025,产品经理,成都星河软件有限公司,8-20K·14薪,成都,金牛区,1-3年,本科,互联网,1000-9999人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计工具和敏捷开发流程，具备跨团队沟通协调能力。,liepin,https://liepin.example.invalid/jobs/25,2026-04-25,2026-06-02 16:15:30
liepin-00026,算法工程师,成都鼎新科技有限公司,17-37K,成都,武侯区,3-5年,硕士,电子商务,1000-9999人,上市公司,"Python,机器学习,深度学习,C++",负责推荐/搜索/广告等算法模型开发与优化，熟悉主流深度学习框架，有实际业务落地经验。,liepin,https://liepin.example.invalid/jobs/26,2026-03-11,2026-06-03 05:15:30
liepin-00027,前端开发工程师,成都蓉创软件有限公司,8-23K·14薪,成都,锦江区,不限,本科,电子商务,100-499人,B轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,liepin,https://liepin.example.invalid/jobs/27,2026-03-18,2026-06-01 23:15:30
liepin-00028,算法工程师,成都宏图信息有限公司,18-39K,成都,天府新区,3-5年,本科,互联网,100-499人,上市公司,"Python,机器学习,深度学习,C++",负责推荐/搜索/广告等算法模型开发与优化，熟悉主流深度学习框架，有实际业务落地经验。,liepin,https://liepin.example.invalid/jobs/28,2026-03-10,2026-06-03 20:15:30
boss-00029,数据分析师,成都宏图软件有限公司,7-15K·14薪,成都,青羊区,1-3年,硕士,金融科技,1000-9999人,天使轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,boss,https://boss.example.invalid/jobs/29,2026-04-05,2026-06-04 14:15:30
lagou-00030,Java 开发工程师,成都天府科技有限公司,11-22K·13薪,成都,天府新区,1-3年,硕士,智能制造,500-999人,B轮,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发与维护，熟悉 Spring Boot、MySQL、Redis 和 Linux 环境部署，有分布式项目经验优先。,lagou,https://lagou.example.invalid/jobs/30,2026-05-29,2026-06-02 00:15:30
lagou-00031,运维工程师,成都天府数据有限公司,11-22K·14薪,成都,天府新区,5-10年,大专,电子商务,1000-9999人,未融资,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,lagou,https://lagou.example.invalid/jobs/31,2026-04-08,2026-06-03 14:15:30
boss-00032,产品经理,成都博思信息有限公司,10-24K,成都,锦江区,不限,硕士,金融科技,500-999人,C轮及以上,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计工具和敏捷开发流程，具备跨团队沟通协调能力。,boss,https://boss.example.invalid/jobs/32,2026-05-16,2026-06-03 18:15:30
liepin-00033,Python 后端工程师,成都宏图科技有限公司,11-27K,成都,高新区,3-5年,硕士,企业服务,1000-9999人,C轮及以上,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,liepin,https://liepin.example.invalid/jobs/33,2026-03-23,2026-06-02 23:15:30
51job-00034,数据分析师,成都博思数据有限公司,9-18K·13薪,成都,双流区,1-3年,硕士,软件服务,20-99人,B轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,51job,https://51job.example.invalid/jobs/34,2026-04-03,2026-06-04 20:15:30
liepin-00035,算法工程师,成都云智数据有限公司,16-33K·13薪,成都,锦江区,3-5年,大专,金融科技,500-999人,A轮,"Python,机器学习,深度学习,C++",负责推荐/搜索/广告等算法模型开发与优化，熟悉主流深度学习框架，有实际业务落地经验。,liepin,https://liepin.example.invalid/jobs/35,2026-04-06,2026-06-04 00:15:30
liepin-00036,运维工程师,成都鼎新信息有限公司,9-16K,成都,高新区,不限,不限,软件服务,100-499人,未融资,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,liepin,https://liepin.example.invalid/jobs/36,2026-03-27,2026-06-04 17:15:30
boss-00037,数据分析师,成都鼎新信息有限公司,7-22K·14薪,成都,青羊区,不限,大专,电子商务,20-99人,C轮及以上,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,boss,https://boss.example.invalid/jobs/37,2026-04-06,2026-06-03 15:15:30
lagou-00038,销售经理,成都星河数据有限公司,7-23K·14薪,成都,武侯区,不限,不限,电子商务,1000-9999人,上市公司,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,lagou,https://lagou.example.invalid/jobs/38,2026-03-21,2026-06-03 16:15:30
liepin-00039,UI 设计师,成都鼎新软件有限公司,7-13K,成都,天府新区,5-10年,大专,智能制造,500-999人,C轮及以上,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,liepin,https://liepin.example.invalid/jobs/39,2026-05-22,2026-06-02 16:15:30
51job-00040,电商运营,成都宏图信息有限公司,7-15K·13薪,成都,青羊区,5-10年,本科,互联网,1000-9999人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备天猫/京东等电商平台运营经验，善于数据驱动增长。,51job,https://51job.example.invalid/jobs/40,2026-05-24,2026-06-03 12:15:30
51job-00041,数据分析师,成都云智信息有限公司,8-19K,成都,成华区,1-3年,硕士,金融科技,100-499人,上市公司,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,51job,https://51job.example.invalid/jobs/41,2026-03-20,2026-06-03 12:15:30
51job-00042,电商运营,成都蓉创数据有限公司,4-12K·13薪,成都,青羊区,3-5年,硕士,智能制造,500-999人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备天猫/京东等电商平台运营经验，善于数据驱动增长。,51job,https://51job.example.invalid/jobs/42,2026-04-14,2026-06-03 16:15:30
boss-00043,产品经理,成都锦城信息有限公司,10-22K,成都,青羊区,5-10年,本科,智能制造,500-999人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计工具和敏捷开发流程，具备跨团队沟通协调能力。,boss,https://boss.example.invalid/jobs/43,2026-04-25,2026-06-04 08:15:30
51job-00044,数据分析师,成都蓉创科技有限公司,8-17K,成都,高新区,3-5年,大专,智能制造,1000-9999人,未融资,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,51job,https://51job.example.invalid/jobs/44,2026-03-28,2026-06-04 07:15:30
liepin-00045,产品经理,成都蓉创软件有限公司,11-26K,成都,金牛区,不限,硕士,金融科技,20-99人,C轮及以上,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计工具和敏捷开发流程，具备跨团队沟通协调能力。,liepin,https://liepin.example.invalid/jobs/45,2026-05-12,2026-06-04 17:15:30
boss-00046,前端开发工程师,成都博思信息有限公司,11-21K·14薪,成都,青羊区,5-10年,硕士,金融科技,500-999人,C轮及以上,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,boss,https://boss.example.invalid/jobs/46,2026-05-20,2026-06-02 00:15:30
boss-00047,销售经理,成都蓉创科技有限公司,8-17K,成都,青羊区,1-3年,大专,教育培训,20-99人,天使轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,boss,https://boss.example.invalid/jobs/47,2026-03-16,2026-06-03 20:15:30
51job-00048,电商运营,成都蓉创软件有限公司,8-18K,成都,高新区,1-3年,本科,企业服务,100-499人,B轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备天猫/京东等电商平台运营经验，善于数据驱动增长。,51job,https://51job.example.invalid/jobs/48,2026-05-06,2026-06-03 11:15:30
lagou-00049,数据分析师,成都蓉创数据有限公司,7-19K·13薪,成都,武侯区,不限,硕士,智能制造,500-999人,上市公司,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,lagou,https://lagou.example.invalid/jobs/49,2026-05-28,2026-06-04 02:15:30
liepin-00050,UI 设计师,成都博思数据有限公司,9-20K·14薪,成都,武侯区,3-5年,不限,互联网,100-499人,上市公司,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,liepin,https://liepin.example.invalid/jobs/50,2026-03-20,2026-06-04 18:15:30
lagou-00051,Python 后端工程师,成都蓉创信息有限公司,12-21K·14薪,成都,天府新区,5-10年,硕士,互联网,1000-9999人,A轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,lagou,https://lagou.example.invalid/jobs/51,2026-03-30,2026-06-02 15:15:30
51job-00052,测试工程师,成都蓉创软件有限公司,5-14K·14薪,成都,双流区,不限,硕士,互联网,500-999人,A轮,"Python,SQL,Linux",负责接口测试、自动化测试用例编写和质量保障，熟悉 Python 脚本和 SQL 查询，有 CI/CD 集成经验优先。,51job,https://51job.example.invalid/jobs/52,2026-03-08,2026-06-02 08:15:30
liepin-00053,运维工程师,成都鼎新软件有限公司,11-15K·13薪,成都,双流区,不限,大专,电子商务,100-499人,A轮,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,liepin,https://liepin.example.invalid/jobs/53,2026-05-29,2026-06-03 23:15:30
lagou-00054,Java 开发工程师,成都博思科技有限公司,8-22K,成都,成华区,不限,硕士,互联网,100-499人,B轮,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发与维护，熟悉 Spring Boot、MySQL、Redis 和 Linux 环境部署，有分布式项目经验优先。,lagou,https://lagou.example.invalid/jobs/54,2026-03-26,2026-06-04 22:15:30
liepin-00055,数据开发工程师,成都锦城软件有限公司,12-28K,成都,天府新区,1-3年,不限,电子商务,1000-9999人,A轮,"SQL,Python,Spark,Hadoop,数据仓库",负责数据仓库建设和 ETL 流程开发，熟悉 Spark/Hive/Hadoop 生态，有海量数据处理经验优先。,liepin,https://liepin.example.invalid/jobs/55,2026-05-04,2026-06-02 13:15:30
liepin-00056,Python 后端工程师,成都宏图数据有限公司,12-25K,成都,锦江区,5-10年,硕士,电子商务,100-499人,上市公司,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,liepin,https://liepin.example.invalid/jobs/56,2026-04-08,2026-06-02 03:15:30
boss-00057,运维工程师,成都博思信息有限公司,8-21K·13薪,成都,金牛区,不限,大专,教育培训,500-999人,未融资,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,boss,https://boss.example.invalid/jobs/57,2026-04-05,2026-06-02 23:15:30
lagou-00058,UI 设计师,成都星河软件有限公司,8-13K,成都,双流区,3-5年,硕士,智能制造,20-99人,A轮,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,lagou,https://lagou.example.invalid/jobs/58,2026-03-13,2026-06-04 04:15:30
boss-00059,测试工程师,成都天府科技有限公司,8-12K·13薪,成都,青羊区,不限,不限,金融科技,100-499人,上市公司,"Python,SQL,Linux",负责接口测试、自动化测试用例编写和质量保障，熟悉 Python 脚本和 SQL 查询，有 CI/CD 集成经验优先。,boss,https://boss.example.invalid/jobs/59,2026-03-16,2026-06-03 11:15:30
51job-00060,Python 后端工程师,成都锦城信息有限公司,12-21K·14薪,成都,金牛区,5-10年,大专,软件服务,100-499人,未融资,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,51job,https://51job.example.invalid/jobs/60,2026-04-18,2026-06-02 16:15:30
lagou-00061,销售经理,成都宏图数据有限公司,5-24K,成都,青羊区,5-10年,本科,智能制造,100-499人,未融资,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,lagou,https://lagou.example.invalid/jobs/61,2026-04-06,2026-06-03 15:15:30
51job-00062,销售经理,成都博思软件有限公司,6-23K,成都,天府新区,1-3年,硕士,教育培训,500-999人,C轮及以上,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，制定销售策略并完成业绩指标，具备较强的客户沟通能力。,51job,https://51job.example.invalid/jobs/62,2026-04-27,2026-06-03 22:15:30
boss-00063,Python 后端工程师,成都蓉创信息有限公司,13-25K·14薪,成都,高新区,3-5年,大专,智能制造,100-499人,C轮及以上,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,boss,https://boss.example.invalid/jobs/63,2026-03-19,2026-06-02 08:15:30
51job-00064,算法工程师,成都锦城科技有限公司,16-32K,成都,天府新区,3-5年,硕士,软件服务,100-499人,天使轮,"Python,机器学习,深度学习,C++",负责推荐/搜索/广告等算法模型开发与优化，熟悉主流深度学习框架，有实际业务落地经验。,51job,https://51job.example.invalid/jobs/64,2026-05-31,2026-06-03 01:15:30
lagou-00065,UI 设计师,成都鼎新科技有限公司,9-17K·13薪,成都,成华区,不限,大专,企业服务,100-499人,上市公司,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,lagou,https://lagou.example.invalid/jobs/65,2026-04-04,2026-06-03 10:15:30
boss-00066,测试工程师,成都宏图数据有限公司,5-18K,成都,成华区,5-10年,本科,互联网,100-499人,B轮,"Python,SQL,Linux",负责接口测试、自动化测试用例编写和质量保障，熟悉 Python 脚本和 SQL 查询，有 CI/CD 集成经验优先。,boss,https://boss.example.invalid/jobs/66,2026-03-28,2026-06-04 08:15:30
boss-00067,UI 设计师,成都博思科技有限公司,7-16K,成都,天府新区,不限,不限,电子商务,1000-9999人,未融资,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,boss,https://boss.example.invalid/jobs/67,2026-03-07,2026-06-03 09:15:30
liepin-00068,UI 设计师,成都博思信息有限公司,6-19K·13薪,成都,金牛区,不限,硕士,教育培训,1000-9999人,A轮,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,liepin,https://liepin.example.invalid/jobs/68,2026-03-11,2026-06-02 02:15:30
lagou-00069,数据分析师,成都鼎新科技有限公司,9-22K·13薪,成都,金牛区,3-5年,大专,互联网,1000-9999人,未融资,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据看板搭建，熟练 SQL、Excel 和 Python，能独立完成分析报告。,lagou,https://lagou.example.invalid/jobs/69,2026-05-23,2026-06-03 00:15:30
lagou-00070,Python 后端工程师,成都星河信息有限公司,10-26K·14薪,成都,锦江区,1-3年,大专,电子商务,100-499人,C轮及以上,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，参与系统架构设计，使用 Python、FastAPI、PostgreSQL、Redis、Docker 构建稳定高效的微服务接口。,lagou,https://lagou.example.invalid/jobs/70,2026-03-24,2026-06-03 21:15:30
lagou-00071,前端开发工程师,成都锦城科技有限公司,8-21K,成都,武侯区,1-3年,本科,互联网,100-499人,A轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,lagou,https://lagou.example.invalid/jobs/71,2026-03-12,2026-06-04 20:15:30
boss-00072,数据开发工程师,成都星河软件有限公司,13-23K·14薪,成都,天府新区,1-3年,不限,智能制造,500-999人,B轮,"SQL,Python,Spark,Hadoop,数据仓库",负责数据仓库建设和 ETL 流程开发，熟悉 Spark/Hive/Hadoop 生态，有海量数据处理经验优先。,boss,https://boss.example.invalid/jobs/72,2026-04-08,2026-06-03 01:15:30
boss-00073,电商运营,成都星河数据有限公司,7-17K·14薪,成都,天府新区,1-3年,不限,软件服务,500-999人,C轮及以上,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备天猫/京东等电商平台运营经验，善于数据驱动增长。,boss,https://boss.example.invalid/jobs/73,2026-04-09,2026-06-04 14:15:30
51job-00074,数据开发工程师,成都星河科技有限公司,12-28K·14薪,成都,天府新区,1-3年,硕士,金融科技,100-499人,B轮,"SQL,Python,Spark,Hadoop,数据仓库",负责数据仓库建设和 ETL 流程开发，熟悉 Spark/Hive/Hadoop 生态，有海量数据处理经验优先。,51job,https://51job.example.invalid/jobs/74,2026-04-01,2026-06-02 16:15:30
51job-00075,运维工程师,成都鼎新信息有限公司,10-16K·13薪,成都,双流区,不限,不限,企业服务,20-99人,未融资,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署上线、监控告警和故障排查，熟悉 Linux、Docker 和 Kubernetes 容器编排。,51job,https://51job.example.invalid/jobs/75,2026-04-25,2026-06-03 15:15:30
boss-00076,数据开发工程师,成都博思数据有限公司,12-24K·13薪,成都,金牛区,不限,本科,教育培训,500-999人,A轮,"SQL,Python,Spark,Hadoop,数据仓库",负责数据仓库建设和 ETL 流程开发，熟悉 Spark/Hive/Hadoop 生态，有海量数据处理经验优先。,boss,https://boss.example.invalid/jobs/76,2026-03-11,2026-06-04 08:15:30
liepin-00077,UI 设计师,成都鼎新科技有限公司,6-15K,成都,青羊区,1-3年,硕士,企业服务,20-99人,C轮及以上,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范制定和交互细节优化，熟悉 Figma 和 PS，对用户体验有较高追求。,liepin,https://liepin.example.invalid/jobs/77,2026-05-22,2026-06-03 03:15:30
51job-00078,前端开发工程师,成都锦城软件有限公司,9-21K,成都,金牛区,1-3年,不限,互联网,100-499人,B轮,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，参与组件库建设和性能优化，熟悉 React/Vue 技术栈，有 TypeScript 项目经验。,51job,https://51job.example.invalid/jobs/78,2026-06-04,2026-06-04 00:15:30
