source_job_id,title,company_name,salary_text,city,district,experience,education,industry,company_size,financing_stage,skills,description,source,source_url,publish_time
sample-0035,产品经理,成都蓉创科技有限公司23,12-21K,成都,双流区,3-5年,硕士,教育培训,20-99人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/35,2026-04-11
sample-0036,产品经理,成都星河科技有限公司57,9-25K·13薪,成都,天府新区,5-10年,大专,智能制造,20-99人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/36,2026-04-05
sample-0037,UI 设计师,成都星河科技有限公司29,9-18K,成都,成华区,1-3年,不限,互联网,100-499人,B轮,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/37,2026-05-04
sample-0038,销售经理,成都天府科技有限公司50,4-24K·14薪,成都,青羊区,5-10年,大专,软件服务,20-99人,未融资,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/38,2026-03-15
sample-0039,运维工程师,成都天府科技有限公司16,8-17K·14薪,成都,青羊区,1-3年,硕士,智能制造,500-999人,B轮,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/39,2026-05-28
sample-0040,销售经理,成都锦城科技有限公司58,8-23K·14薪,成都,天府新区,1-3年,本科,企业服务,1000-9999人,上市公司,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/40,2026-05-14
sample-0041,数据分析师,成都锦城科技有限公司35,8-22K,成都,青羊区,3-5年,不限,软件服务,100-499人,天使轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/41,2026-04-28
sample-0042,运维工程师,成都蓉创科技有限公司43,8-18K,成都,双流区,5-10年,硕士,互联网,100-499人,B轮,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/42,2026-04-11
sample-0043,运维工程师,成都锦城科技有限公司46,11-15K·14薪,成都,高新区,5-10年,硕士,教育培训,100-499人,B轮,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/43,2026-04-03
sample-0044,数据分析师,成都天府科技有限公司44,8-21K·14薪,成都,双流区,1-3年,硕士,软件服务,20-99人,B轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/44,2026-05-31
sample-0045,销售经理,成都天府科技有限公司18,8-17K,成都,双流区,1-3年,不限,电子商务,1000-9999人,A轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/45,2026-03-13
sample-0046,数据分析师,成都锦城科技有限公司54,9-20K·13薪,成都,成华区,不限,硕士,互联网,20-99人,A轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/46,2026-04-16
sample-0047,数据分析师,成都蓉创科技有限公司3,6-15K,成都,青羊区,1-3年,大专,软件服务,1000-9999人,上市公司,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/47,2026-05-03
sample-0048,Java 开发工程师,成都星河科技有限公司48,12-22K·14薪,成都,成华区,不限,大专,电子商务,20-99人,C轮及以上,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/48,2026-03-06
sample-0049,Python 后端工程师,成都星河科技有限公司76,12-27K·14薪,成都,武侯区,不限,本科,企业服务,20-99人,C轮及以上,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/49,2026-05-09
sample-0050,Python 后端工程师,成都天府科技有限公司2,12-27K·13薪,成都,金牛区,5-10年,不限,金融科技,500-999人,上市公司,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/50,2026-05-26
sample-0051,电商运营,成都蓉创科技有限公司79,5-17K,成都,成华区,5-10年,硕士,金融科技,500-999人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/51,2026-03-29
sample-0052,数据分析师,成都蓉创科技有限公司73,6-19K·14薪,成都,天府新区,5-10年,本科,互联网,1000-9999人,A轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/52,2026-05-03
sample-0053,前端开发工程师,成都蓉创科技有限公司36,10-20K·13薪,成都,金牛区,3-5年,不限,教育培训,100-499人,未融资,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，熟悉 React 或 Vue，有 TypeScript 项目经验。,sample,https://example.invalid/jobs/53,2026-05-01
sample-0054,数据分析师,成都天府科技有限公司63,9-22K,成都,天府新区,不限,不限,电子商务,100-499人,B轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/54,2026-03-07
sample-0055,数据分析师,成都蓉创科技有限公司55,8-20K·14薪,成都,金牛区,3-5年,本科,智能制造,1000-9999人,A轮,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/55,2026-03-25
sample-0056,产品经理,成都蓉创科技有限公司16,10-22K,成都,金牛区,1-3年,大专,软件服务,1000-9999人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/56,2026-05-10
sample-0057,销售经理,成都锦城科技有限公司30,8-21K,成都,成华区,1-3年,本科,互联网,100-499人,A轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/57,2026-05-10
sample-0058,Python 后端工程师,成都云智科技有限公司14,10-25K,成都,天府新区,3-5年,硕士,金融科技,1000-9999人,A轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/58,2026-03-14
sample-0059,前端开发工程师,成都天府科技有限公司52,7-21K·14薪,成都,武侯区,不限,不限,软件服务,100-499人,C轮及以上,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，熟悉 React 或 Vue，有 TypeScript 项目经验。,sample,https://example.invalid/jobs/59,2026-05-20
sample-0060,产品经理,成都蓉创科技有限公司78,8-22K,成都,双流区,1-3年,硕士,金融科技,1000-9999人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/60,2026-03-24
sample-0061,销售经理,成都星河科技有限公司27,7-21K,成都,武侯区,3-5年,不限,软件服务,100-499人,天使轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/61,2026-03-17
sample-0062,UI 设计师,成都天府科技有限公司77,5-15K,成都,天府新区,3-5年,不限,软件服务,500-999人,上市公司,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/62,2026-04-12
sample-0063,产品经理,成都云智科技有限公司55,11-20K,成都,青羊区,1-3年,大专,电子商务,100-499人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/63,2026-05-01
sample-0064,Python 后端工程师,成都锦城科技有限公司60,11-25K·13薪,成都,武侯区,5-10年,本科,教育培训,1000-9999人,B轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/64,2026-04-08
sample-0065,Java 开发工程师,成都云智科技有限公司4,12-19K·14薪,成都,成华区,1-3年,不限,企业服务,500-999人,C轮及以上,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/65,2026-04-23
sample-0066,Python 后端工程师,成都天府科技有限公司75,11-28K·14薪,成都,锦江区,5-10年,不限,金融科技,500-999人,B轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/66,2026-04-29
sample-0067,测试工程师,成都锦城科技有限公司64,7-13K,成都,双流区,5-10年,不限,金融科技,20-99人,A轮,"Python,SQL,Linux",负责接口测试、自动化测试和质量保障，熟悉 Python 脚本和 SQL。,sample,https://example.invalid/jobs/67,2026-04-22
sample-0068,产品经理,成都天府科技有限公司70,10-20K·14薪,成都,高新区,5-10年,不限,软件服务,500-999人,C轮及以上,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/68,2026-03-30
sample-0069,电商运营,成都天府科技有限公司37,7-11K,成都,锦江区,5-10年,不限,互联网,100-499人,上市公司,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/69,2026-04-30
sample-0070,前端开发工程师,成都天府科技有限公司15,9-17K·14薪,成都,青羊区,不限,大专,金融科技,500-999人,C轮及以上,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，熟悉 React 或 Vue，有 TypeScript 项目经验。,sample,https://example.invalid/jobs/70,2026-05-23
sample-0071,产品经理,成都星河科技有限公司71,11-26K·14薪,成都,天府新区,5-10年,大专,教育培训,100-499人,未融资,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/71,2026-05-03
sample-0072,产品经理,成都蓉创科技有限公司39,11-24K·13薪,成都,成华区,5-10年,大专,金融科技,1000-9999人,A轮,"需求分析,原型设计,项目管理,Figma",负责需求分析、产品规划和项目推进，熟悉原型设计和跨团队沟通。,sample,https://example.invalid/jobs/72,2026-06-03
sample-0073,测试工程师,成都蓉创科技有限公司31,9-18K·14薪,成都,青羊区,5-10年,大专,企业服务,1000-9999人,未融资,"Python,SQL,Linux",负责接口测试、自动化测试和质量保障，熟悉 Python 脚本和 SQL。,sample,https://example.invalid/jobs/73,2026-04-23
sample-0074,测试工程师,成都云智科技有限公司64,8-18K·14薪,成都,锦江区,1-3年,本科,企业服务,20-99人,B轮,"Python,SQL,Linux",负责接口测试、自动化测试和质量保障，熟悉 Python 脚本和 SQL。,sample,https://example.invalid/jobs/74,2026-03-11
sample-0075,Java 开发工程师,成都云智科技有限公司20,12-26K,成都,双流区,5-10年,本科,电子商务,1000-9999人,上市公司,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/75,2026-05-16
sample-0076,Java 开发工程师,成都云智科技有限公司70,10-25K·13薪,成都,天府新区,不限,大专,智能制造,500-999人,天使轮,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/76,2026-03-15
sample-0077,Java 开发工程师,成都云智科技有限公司39,11-20K,成都,锦江区,不限,本科,企业服务,20-99人,A轮,"Java,Spring Boot,MySQL,Redis,Linux",负责 Java 后端系统开发，熟悉 Spring Boot、MySQL、Redis 和 Linux。,sample,https://example.invalid/jobs/77,2026-04-08
sample-0078,测试工程师,成都星河科技有限公司73,7-18K,成都,双流区,1-3年,大专,互联网,1000-9999人,C轮及以上,"Python,SQL,Linux",负责接口测试、自动化测试和质量保障，熟悉 Python 脚本和 SQL。,sample,https://example.invalid/jobs/78,2026-05-03
sample-0079,数据分析师,成都锦城科技有限公司59,9-17K,成都,成华区,不限,硕士,电子商务,100-499人,未融资,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/79,2026-04-05
sample-0080,电商运营,成都锦城科技有限公司59,6-15K·14薪,成都,成华区,1-3年,硕士,企业服务,1000-9999人,未融资,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/80,2026-03-07
sample-0081,数据分析师,成都天府科技有限公司3,9-20K·13薪,成都,成华区,3-5年,不限,教育培训,20-99人,C轮及以上,"SQL,Python,Excel,Tableau,数据分析,数据可视化",负责业务数据分析、指标体系建设和数据可视化，熟练 SQL、Excel 和 Python。,sample,https://example.invalid/jobs/81,2026-03-06
sample-0082,电商运营,成都锦城科技有限公司80,6-14K·13薪,成都,青羊区,1-3年,不限,智能制造,20-99人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/82,2026-05-06
sample-0083,电商运营,成都天府科技有限公司42,4-16K,成都,成华区,1-3年,大专,软件服务,500-999人,C轮及以上,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/83,2026-05-23
sample-0084,UI 设计师,成都云智科技有限公司44,7-15K·13薪,成都,成华区,5-10年,不限,软件服务,100-499人,上市公司,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/84,2026-04-03
sample-0085,运维工程师,成都蓉创科技有限公司34,11-20K,成都,高新区,不限,硕士,电子商务,500-999人,C轮及以上,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/85,2026-04-14
sample-0086,运维工程师,成都蓉创科技有限公司80,9-16K,成都,高新区,3-5年,大专,智能制造,20-99人,上市公司,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/86,2026-04-04
sample-0087,电商运营,成都锦城科技有限公司5,6-17K,成都,高新区,5-10年,不限,互联网,100-499人,C轮及以上,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/87,2026-05-17
sample-0088,前端开发工程师,成都星河科技有限公司76,10-24K·13薪,成都,双流区,5-10年,不限,企业服务,1000-9999人,C轮及以上,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，熟悉 React 或 Vue，有 TypeScript 项目经验。,sample,https://example.invalid/jobs/88,2026-03-10
sample-0089,运维工程师,成都星河科技有限公司57,9-15K·13薪,成都,天府新区,3-5年,不限,智能制造,500-999人,C轮及以上,"Linux,Docker,Kubernetes,Redis,MySQL",负责系统部署、监控和故障处理，熟悉 Linux、Docker 和 Kubernetes。,sample,https://example.invalid/jobs/89,2026-05-07
sample-0090,测试工程师,成都云智科技有限公司59,5-18K·13薪,成都,武侯区,1-3年,不限,互联网,500-999人,天使轮,"Python,SQL,Linux",负责接口测试、自动化测试和质量保障，熟悉 Python 脚本和 SQL。,sample,https://example.invalid/jobs/90,2026-05-10
sample-0091,前端开发工程师,成都星河科技有限公司76,11-20K,成都,青羊区,1-3年,本科,企业服务,100-499人,C轮及以上,"JavaScript,TypeScript,React,Vue",负责 Web 前端开发，熟悉 React 或 Vue，有 TypeScript 项目经验。,sample,https://example.invalid/jobs/91,2026-03-25
sample-0092,Python 后端工程师,成都云智科技有限公司23,12-23K,成都,成华区,不限,大专,互联网,500-999人,天使轮,"Python,FastAPI,PostgreSQL,Redis,Docker",负责业务后端服务开发，使用 Python、FastAPI、SQL、Redis 构建稳定接口。,sample,https://example.invalid/jobs/92,2026-03-26
sample-0093,销售经理,成都天府科技有限公司17,6-17K,成都,高新区,不限,不限,金融科技,1000-9999人,A轮,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/93,2026-05-01
sample-0094,UI 设计师,成都云智科技有限公司79,9-14K·14薪,成都,青羊区,3-5年,硕士,智能制造,20-99人,未融资,"Figma,Photoshop,原型设计",负责产品界面设计、设计规范维护和交互细节优化，熟悉 Figma。,sample,https://example.invalid/jobs/94,2026-03-31
sample-0095,电商运营,成都云智科技有限公司10,7-17K,成都,天府新区,3-5年,大专,互联网,100-499人,A轮,"电商运营,Excel,数据分析,用户增长",负责店铺运营、活动策划和数据复盘，具备电商平台运营经验。,sample,https://example.invalid/jobs/95,2026-04-02
sample-0096,销售经理,成都蓉创科技有限公司59,8-22K·14薪,成都,成华区,5-10年,不限,企业服务,20-99人,上市公司,"销售,客户沟通,渠道拓展",负责客户开发、商务谈判和渠道拓展，具备较强客户沟通能力。,sample,https://example.invalid/jobs/96,2026-03-19
